  waluta  cena           dzien  tydzien  miesiac
1, BTC,  35953.50,       1.6%,   2.2%,  -16.4%
2, ETH,  2386.21,        3.1%,	-2.0%,	-28.9%
3, USDT, 1.00,          -1.4%,	-0.0%,   0.4%
4, BNB,  363.77,         1.9%,	-2.3%,	-27.0%
5, USDC, 0.997873,      -1.4%,	-0.3%,	-0.2%
6, ADA,  1.05,          -1.4%,	-0.3%,	-0.2%
7, XRP,  0.597661,       1.7%,	-1.3%,	-23.3%
8, SOL,  89.50,          3.0%,	-7.9%,	-39.5%
9, LUNA, 66.85,          0.2%,	 1.1%,	-23.2%
10,DOT,  17.65,          1.7%,	-2.4%,	-36.4%
11,DOGE, 0.134699,       1.3%,	-1.8%,	-24.2%
12,AVAX, 61.84,          4.8%,   1.0%,	-33.0%
13,BUSD, 1.01,          -1.5%,	 0.6%,   0.6%
14,SHIB, 0.00002091,     4.5%,	-2.9%,	-31.6%
15,UST,  1.00,          -0.8%,   0.2%,   0.2%
